	RANN			n2p2			meam
37.0602131	-1.108008176		36.4591589	-0.959749696		37.06453192	-1.139822611
37.43582052	-1.094724159		36.82867461	-0.935947047		37.44018312	-1.127549451
37.81395728	-1.081561975		37.20067863	-0.912283924		37.81836394	-1.115267782
38.19463186	-1.068540101		37.57517931	-0.888866838		38.19908289	-1.10298385
38.57785275	-1.055675473		37.952185	-0.865804476		38.58234843	-1.090703635
38.96362843	-1.0429835		38.33170405	-0.843206422		38.96816907	-1.078432853
39.3519674	-1.030478098		38.71374481	-0.821181933		39.3565533	-1.06617697
39.74287814	-1.018171746		39.09831564	-0.799839615		39.74750959	-1.053941208
40.13636914	-1.00607555		39.48542488	-0.779285143		40.14104645	-1.041730553
40.53244889	-0.994199318		39.87508088	-0.759618607		40.53717235	-1.029549764
40.93112587	-0.982551649		40.26729199	-0.740932979		40.93589579	-1.017403378
41.33240857	-0.971140012		40.66206657	-0.723312663		41.33722526	-1.005295721
41.73630549	-0.959970847		41.05941296	-0.706832122		41.74116924	-0.993230913
42.1428251	-0.949049648		41.45933951	-0.691554605		42.14773623	-0.981212874
42.5519759	-0.938381064		41.86185457	-0.677530984		42.55693471	-0.969245333
42.96376637	-0.927968988		42.26696649	-0.66479874		42.96877317	-0.957331834
43.37820501	-0.917816649		42.67468363	-0.653381079		43.3832601	-0.945475741
43.79530029	-0.907926706		43.08501433	-0.643286228		43.80040399	-0.933680243
44.21506071	-0.898301333		43.49796694	-0.634506108		44.22021333	-0.921948366
44.63749475	-0.888942306		43.91354982	-0.62701554		44.6426966	-0.910282971
45.06261091	-0.879851084		44.33177131	-0.620775059		45.06786229	-0.898686766
45.49041766	-0.871028892		44.75263976	-0.615729762		45.4957189	-0.887162307
45.9209235	-0.862476789		45.17616352	-0.611809332		45.92627491	-0.875712006
46.35413692	-0.854195742		45.60235094	-0.608930857		46.35953881	-0.864338133
46.7900664	-0.846186689		46.03121038	-0.607008049		46.7955191	-0.853042827
47.22872043	-0.838450595		46.46275018	-0.605947304		47.23422424	-0.841828093
47.6701075	-0.830988505		46.8969787	-0.605645749		47.67566275	-0.830695814
48.11423609	-0.823801587		47.33390427	-0.60599249		48.1198431	-0.819647749
48.5611147	-0.81689117		47.77353526	-0.606870007		48.56677378	-0.808685542
49.01075181	-0.810258773		48.21588002	-0.608155651		49.01646329	-0.797814512
49.4631559	-0.803906126		48.66094688	-0.609723224		49.46892011	-0.787093319
49.91833548	-0.797835184		49.10874421	-0.61144461		49.92415273	-0.776678867
50.37629902	-0.792048134		49.55928035	-0.613191902		50.38216964	-0.766751254
50.83705501	-0.786547394		50.01256366	-0.614844479		50.84297932	-0.757225807
51.30061194	-0.781335602		50.46860247	-0.616289817		51.30659027	-0.747180653
51.76697829	-0.776415608		50.92740515	-0.617421854		51.77301098	-0.736842372
52.23616257	-0.771790451		51.38898005	-0.618142493		52.24224993	-0.726599194
52.70817324	-0.767463333		51.85333551	-0.618363051		52.71431561	-0.716451898
53.18301881	-0.7634376		52.32047988	-0.618005562		53.18921651	-0.706401186
53.66070775	-0.759716702		52.79042151	-0.617003899		53.66696112	-0.696447682
54.14124856	-0.756304167		53.26316876	-0.6153047		54.14755793	-0.686591937
54.62464972	-0.753197899		53.73872997	-0.612867806		54.63101543	-0.676834431
55.11091973	-0.750307123		54.21711349	-0.609662537		55.1173421	-0.667175577
55.60006706	-0.747592796		54.69832768	-0.605668743		55.60654643	-0.657615722
56.09210021	-0.745046446		55.18238088	-0.600882735		56.09863692	-0.648155152
56.58702767	-0.742659407		55.66928145	-0.595311619		56.59362205	-0.638794093
57.08485791	-0.740422845		56.15903773	-0.588973892		57.09151032	-0.629532711
57.58559944	-0.738327783		56.65165807	-0.581900607		57.5923102	-0.620371121
58.08926073	-0.736365121		57.14715083	-0.574134386		58.09603018	-0.611309382
58.59585028	-0.734525658		57.64552435	-0.565729912		58.60267877	-0.602347506
59.10537657	-0.73280012		58.14678698	-0.556755251		59.11226444	-0.593485455
59.61784809	-0.731179169		58.65094708	-0.547287258		59.62479568	-0.584723143
60.13327333	-0.729653436		59.15801299	-0.537409346		60.14028099	-0.576060444
60.65166078	-0.728213527		59.66799306	-0.527209699		60.65872884	-0.567497186
61.17301892	-0.726850052		60.18089565	-0.516779435		61.18014774	-0.559033161
61.69735624	-0.725553635		60.69672911	-0.506210749		61.70454616	-0.550668118
62.22468123	-0.724314934		61.21550177	-0.495595085		62.2319326	-0.542401773
62.75500238	-0.723124656		61.737222	-0.485021378		62.76231555	-0.534233805
63.28832817	-0.721973571		62.26189815	-0.474574393		63.29570349	-0.526163863
63.82466709	-0.720852528		62.78953856	-0.464333126		63.83210492	-0.518191559
64.36402763	-0.719752466		63.32015158	-0.454367147		64.37152832	-0.51031648
64.90641828	-0.718664428		63.85374557	-0.444741418		64.91398217	-0.502538183
65.45184753	-0.717579574		64.39032887	-0.435516701		65.45947498	-0.494856196
66.00032386	-0.71648919		64.92990984	-0.426742979		66.00801523	-0.487270024
66.55185576	-0.715384701		65.47249682	-0.41844768		66.5596114	-0.479779145
67.10645171	-0.714257678		66.01809817	-0.410640583		67.11427198	-0.472383017
67.66412021	-0.71309985		66.56672223	-0.40332102		67.67200548	-0.465081075
68.22486975	-0.711903113		67.11837735	-0.396478386		68.23282036	-0.457872731
68.78870881	-0.710659533		67.67307189	-0.390092765		68.79672512	-0.450757381
69.35564588	-0.70936136		68.23081419	-0.384135715		69.36372826	-0.443734401
69.92568944	-0.708001031		68.79161261	-0.378571193		69.93383825	-0.436803151
70.49884799	-0.706571178		69.35547549	-0.373356595		70.50706359	-0.429962973
71.07513001	-0.705064632		69.92241119	-0.368443877		71.08341277	-0.423213195
71.65454399	-0.703474431		70.49242805	-0.363780719		71.66289427	-0.416553132
72.23709842	-0.701793821		71.06553443	-0.359311726		72.24551659	-0.409982083
72.82280178	-0.700016264		71.64173867	-0.35497961		72.83128821	-0.403499338
73.41166256	-0.698135441		72.22104912	-0.35072634		73.42021762	-0.397104172
74.00368926	-0.696145251		72.80347415	-0.346494247		74.0123133	-0.390795853
74.59889035	-0.694039822		73.38902208	-0.342227037		74.60758376	-0.384573636
75.19727433	-0.691813506		73.97770128	-0.337870721		75.20603747	-0.37843677
75.79884969	-0.689460884		74.5695201	-0.333374438		75.80768293	-0.372384493
76.4036249	-0.68697677		75.16448688	-0.328691195		76.41252863	-0.366416037
77.01160847	-0.684356208		75.76260997	-0.32378293		77.02058304	-0.360530628
77.62280887	-0.681594475		76.36389774	-0.318625471		77.63185467	-0.354727483
78.2372346	-0.678687083		76.96835851	-0.313201718		78.246352	-0.349005816
78.85489413	-0.675629778		77.57600065	-0.30750085		78.86408352	-0.343364835
79.47579597	-0.672418539		78.18683251	-0.301518322		79.48505771	-0.337803745
80.0999486	-0.66904958		78.80086243	-0.295255759		80.10928307	-0.332321745
80.7273605	-0.66551935		79.41809877	-0.28872075		80.73676809	-0.326918032
81.35804016	-0.661824531		80.03854987	-0.281926565		81.36752125	-0.3215918
81.99199608	-0.657962035		80.66222409	-0.274891792		82.00155104	-0.316342243
82.62923673	-0.65392901		81.28912977	-0.267639925		82.63886595	-0.311168549
83.26977061	-0.649722834		81.91927527	-0.260198895		83.27947448	-0.306069908
83.9136062	-0.645341114		82.55266893	-0.252600533		83.9233851	-0.301045509
84.56075199	-0.640781689		83.18931911	-0.244879071		84.57060631	-0.296094539
85.21121648	-0.636042624		83.82923416	-0.237068942		85.22114659	-0.291216187
85.86500814	-0.631122215		84.47242242	-0.229204573		85.87501444	-0.286409641
86.52213546	-0.626018982		85.11889225	-0.221321371		86.53221835	-0.281674089
87.18260694	-0.620731675		85.76865199	-0.213455286		87.19276679	-0.277008723
87.84643105	-0.615259269		86.42171	-0.205642322		87.85666827	-0.272412734
88.5136163	-0.609600963		87.07807462	-0.197918074		88.52393126	-0.267885315
89.18417116	-0.603756186		87.73775421	-0.1903173		89.19456426	-0.263425663
